Fecha,Moneda,Venta
2024-01-25,USD,3.765
2024-01-26,USD,3.786
2024-01-27,USD,3.786
2024-01-28,USD,3.786
2024-01-29,USD,3.807
2024-01-30,USD,3.813
2024-01-31,USD,3.808
2024-02-01,USD,3.808
2024-02-02,USD,3.829
2024-02-03,USD,3.829
2024-02-04,USD,3.829
2024-02-05,USD,3.852
2024-02-06,USD,3.858
2024-02-07,USD,3.868
2024-02-08,USD,3.854
2024-02-09,USD,3.868
2024-02-10,USD,3.868
2024-02-11,USD,3.868
2024-02-12,USD,3.869
2024-02-13,USD,3.883
2024-02-14,USD,3.877
2024-02-15,USD,3.87
2024-02-16,USD,3.844
2024-02-17,USD,3.844
2024-02-18,USD,3.844
2024-02-19,USD,3.807
2024-02-20,USD,3.784
2024-02-21,USD,3.797
2024-02-22,USD,3.807
2024-02-23,USD,3.799
2024-02-24,USD,3.799
2024-02-25,USD,3.799
2024-02-26,USD,3.803
2024-02-27,USD,3.793
2024-02-28,USD,3.797
2024-02-29,USD,3.782
2024-03-01,USD,3.773
2024-03-02,USD,3.773
2024-03-03,USD,3.773
2024-03-04,USD,3.771
2024-03-05,USD,3.77
2024-03-06,USD,3.736
2024-03-07,USD,3.726
2024-03-08,USD,3.696
2024-03-09,USD,3.696
2024-03-10,USD,3.696
2024-03-11,USD,3.692
2024-03-12,USD,3.695
2024-03-13,USD,3.671
2024-03-14,USD,3.677
2024-03-15,USD,3.692
2024-03-16,USD,3.692
2024-03-17,USD,3.692
2024-03-18,USD,3.698
2024-03-19,USD,3.703
2024-03-20,USD,3.696
2024-03-21,USD,3.701
2024-03-22,USD,3.694
2024-03-23,USD,3.694
2024-03-24,USD,3.694
2024-03-25,USD,3.707
2024-03-26,USD,3.727
2024-03-27,USD,3.721
2024-03-28,USD,3.721
2024-03-29,USD,3.721
2024-03-30,USD,3.721
2024-03-31,USD,3.721
2024-04-01,USD,3.734
2024-04-02,USD,3.711
2024-04-03,USD,3.694
2024-04-04,USD,3.685
2024-04-05,USD,3.691
2024-04-06,USD,3.691
2024-04-07,USD,3.691
2024-04-08,USD,3.681
2024-04-09,USD,3.693
2024-04-10,USD,3.71
2024-04-11,USD,3.711
2024-04-12,USD,3.707
2024-04-13,USD,3.707
2024-04-14,USD,3.707
2024-04-15,USD,3.725
2024-04-16,USD,3.755
2024-04-17,USD,3.749
2024-04-18,USD,3.744
2024-04-19,USD,3.702
2024-04-20,USD,3.702
2024-04-21,USD,3.702
2024-04-22,USD,3.701
2024-04-23,USD,3.701
2024-04-24,USD,3.724
2024-04-25,USD,3.745
2024-04-26,USD,3.756
2024-04-27,USD,3.756
2024-04-28,USD,3.756
2024-04-29,USD,3.734
2024-04-30,USD,3.752
2024-05-01,USD,3.752
2024-05-02,USD,3.757
2024-05-03,USD,3.726
2024-05-04,USD,3.726
2024-05-05,USD,3.726
2024-05-06,USD,3.73
2024-05-07,USD,3.728
2024-05-08,USD,3.724
2024-05-09,USD,3.713
2024-05-10,USD,3.708
2024-05-11,USD,3.708
2024-05-12,USD,3.708
2024-05-13,USD,3.723
2024-05-14,USD,3.728
2024-05-15,USD,3.718
2024-05-16,USD,3.728
2024-05-17,USD,3.742
2024-05-18,USD,3.742
2024-05-19,USD,3.742
2024-05-20,USD,3.736
2024-05-21,USD,3.733
2024-05-22,USD,3.743
2024-05-23,USD,3.746
2024-05-24,USD,3.739
2024-05-25,USD,3.739
2024-05-26,USD,3.739
2024-05-27,USD,3.748
2024-05-28,USD,3.75
2024-05-29,USD,3.762
2024-05-30,USD,3.753
2024-05-31,USD,3.741
2024-06-01,USD,3.741
2024-06-02,USD,3.741
2024-06-03,USD,3.736
2024-06-04,USD,3.74
2024-06-05,USD,3.747
2024-06-06,USD,3.756
2024-06-07,USD,3.756
2024-06-08,USD,3.756
2024-06-09,USD,3.756
2024-06-10,USD,3.781
2024-06-11,USD,3.787
2024-06-12,USD,3.772
